iter	Logloss
0	0.6480896315
1	0.6138548005
2	0.5914905415
3	0.5667772709
4	0.5439539053
5	0.5254670867
6	0.506875646
7	0.4875482091
8	0.4730102844
9	0.4596836353
10	0.4498700741
11	0.4362648625
12	0.4254231279
13	0.416448658
14	0.4078542261
15	0.3993227071
16	0.391749587
17	0.3845165983
18	0.3775712857
19	0.3718388329
20	0.3654947335
21	0.3603266447
22	0.3541013882
23	0.3492496708
24	0.3446232809
25	0.3398657684
26	0.3350986903
27	0.330690238
28	0.3269929659
29	0.3230167824
30	0.3193797418
31	0.3156483007
32	0.3122010361
33	0.3094047586
34	0.3064840437
35	0.3028684499
36	0.2996448719
37	0.2961991416
38	0.2939073156
39	0.2912728137
40	0.2890245991
41	0.286142007
42	0.2834963417
43	0.281226654
44	0.2783347054
45	0.2757465017
46	0.2735466028
47	0.2714878013
48	0.2693570742
49	0.2666328572
50	0.2652059875
51	0.2632954248
52	0.2611832134
53	0.2596460884
54	0.2575444541
55	0.2557832536
56	0.2535369596
57	0.2515246854
58	0.2497543931
59	0.2477944846
60	0.2458195603
61	0.2442296795
62	0.2423242063
63	0.240751711
64	0.2389085799
65	0.2370165993
66	0.2356137397
67	0.2336410835
68	0.232112494
69	0.2305307856
70	0.2290700019
71	0.2271845775
72	0.2258397046
73	0.2247705386
74	0.2231958418
75	0.2215767127
76	0.2201287575
77	0.2185557161
78	0.2169873717
79	0.2150811061
80	0.2131954704
81	0.2121123161
82	0.2102394597
83	0.2084566913
84	0.2071229136
85	0.2055087953
86	0.2040466155
87	0.2026409848
88	0.2013913037
89	0.2006203802
90	0.1996261135
91	0.1989020951
92	0.1973291796
93	0.1968799956
94	0.1960543586
95	0.1946990202
96	0.1933416182
97	0.1924233711
98	0.1923254675
99	0.1913025522
