iter	Passed	Remaining
0	1	111
1	2	130
2	4	152
3	6	161
4	8	169
5	10	171
6	12	170
7	13	154
8	15	153
9	17	154
10	18	153
11	19	143
12	21	143
13	23	141
14	24	140
15	25	131
16	27	131
17	28	130
18	30	130
19	32	130
20	34	129
21	36	128
22	38	128
23	40	127
24	42	126
25	44	125
26	46	124
27	48	123
28	49	122
29	52	121
30	53	119
31	55	118
32	57	116
33	58	112
34	60	111
35	62	110
36	63	108
37	65	107
38	67	105
39	69	103
40	71	102
41	73	101
42	75	100
43	77	98
44	79	96
45	81	95
46	82	93
47	84	91
48	85	88
49	86	86
50	88	85
51	91	84
52	93	82
53	95	80
54	96	79
55	98	77
56	100	75
57	101	73
58	104	72
59	107	71
60	108	69
61	110	67
62	112	66
63	114	64
64	116	62
65	118	60
66	119	59
67	121	57
68	123	55
69	125	53
70	126	51
71	128	49
72	130	48
73	131	46
74	133	44
75	135	42
76	137	40
77	138	39
78	140	37
79	141	35
80	143	33
81	145	31
82	146	30
83	148	28
84	150	26
85	151	24
86	153	22
87	155	21
88	157	19
89	158	17
90	160	15
91	162	14
92	163	12
93	165	10
94	167	8
95	169	7
96	170	5
97	172	3
98	174	1
99	175	0
